Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
200,6,10,0,0.9424261725190931,0.7854286352286799,21352.0,136969.0,1336.0,8336.0,4476.0,34215.0,5983.0,4587.0,0.7918739819226841,0.32691356353397555
200,6,10,1,0.9398338847997839,0.8795074090932079,24060.0,142956.0,1518.0,9174.0,3630.0,31151.0,2878.0,1887.0,0.7925180540358806,0.5357924467816096
200,6,10,2,0.9443601757283626,0.839473147865077,24060.0,144038.0,1630.0,8274.0,4211.0,28740.0,4095.0,2206.0,0.8041154210497348,0.48122557615157874
200,6,10,3,0.9434272327165618,0.8875144955546965,21153.0,144760.0,1505.0,8444.0,5350.0,31386.0,852.0,3804.0,0.7866372575311753,0.6488738371173303
200,6,10,4,0.9446801730293714,0.8685856536200657,22160.0,137917.0,1383.0,7991.0,5254.0,36267.0,2936.0,3346.0,0.8017101906917001,0.5464414576708705
200,6,10,cumulative,0.9429455277586346,0.8521018682723455,112785.0,706640.0,7372.0,42219.0,22921.0,161759.0,16744.0,15830.0,0.7955206532041468,0.49318876638539755
200,6,30,0,0.9723619436524141,0.7857737358153509,26528.0,136822.0,1483.0,3160.0,5998.0,32710.0,7488.0,3065.0,0.9034196617032604,0.41322657129919954
200,6,30,1,0.9704459000157561,0.8841349314722096,29571.0,142885.0,1589.0,3663.0,4292.0,30672.0,3357.0,1225.0,0.9011127731338774,0.5958891687774925
200,6,30,2,0.9734216469477871,0.8278049526138795,29077.0,144194.0,1474.0,3257.0,4716.0,27777.0,5058.0,1701.0,0.9091820378670966,0.4967475326782253
200,6,30,3,0.9752703824589735,0.9016476613838423,26553.0,144960.0,1305.0,3044.0,6686.0,30635.0,1603.0,2468.0,0.9101387198156577,0.7058940950441525
200,6,30,4,0.9754796371812501,0.7674204547831726,27269.0,138027.0,1273.0,2882.0,5302.0,31383.0,7820.0,3298.0,0.9148960315949624,0.35895312960120895
200,6,30,cumulative,0.9733959020512362,0.8333563472136911,138998.0,706888.0,7124.0,16006.0,26994.0,153177.0,25326.0,11757.0,0.9076858059545393,0.49664970437642336
200,6,50,0,0.9854636800342872,0.7825054302592315,28183.0,137368.0,937.0,1505.0,6501.0,32046.0,8152.0,2562.0,0.94973090102145,0.4360994738193754
